Stage,Sequence,Trial,First,Second,Pair
M,8,3,S,G,"[S,G]"
M,8,4,H,S,"[H,S]"
M,8,5,S,B,"[S,B]"
M,8,6,C,S,"[C,S]"
M,8,7,S,E,"[S,E]"
M,8,8,S,D,"[S,D]"
0,0,0,0,0,0
R,1,1,S,F,"[S,F]"
R,1,2,S,C,"[S,C]"
R,1,3,S,B,"[S,B]"
R,1,4,S,H,"[S,H]"
R,1,5,G,S,"[G,S]"
R,1,6,D,S,"[D,S]"
R,1,7,E,S,"[E,S]"
R,1,8,A,S,"[A,S]"
R,2,1,S,D,"[S,D]"
R,2,2,S,C,"[S,C]"
R,2,3,S,F,"[S,F]"
R,2,4,S,B,"[S,B]"
R,2,5,G,S,"[G,S]"
R,2,6,A,S,"[A,S]"
R,2,7,H,S,"[H,S]"
R,2,8,E,S,"[E,S]"
0,0,0,0,0,0
R,3,1,S,H,"[S,H]"
R,3,2,S,F,"[S,F]"
R,3,3,D,S,"[D,S]"
R,3,4,B,S,"[B,S]"
R,3,5,S,E,"[S,E]"
R,3,6,S,C,"[S,C]"
R,3,7,A,S,"[A,S]"
R,3,8,G,S,"[G,S]"
R,4,1,S,G,"[S,G]"
R,4,2,C,S,"[C,S]"
R,4,3,D,S,"[D,S]"
R,4,4,H,S,"[H,S]"
R,4,5,S,A,"[S,A]"
R,4,6,S,E,"[S,E]"
R,4,7,B,S,"[B,S]"
R,4,8,S,F,"[S,F]"
0,0,0,0,0,0
R,5,1,C,S,"[C,S]"
R,5,2,G,S,"[G,S]"
R,5,3,F,S,"[F,S]"
R,5,4,S,E,"[S,E]"
R,5,5,H,S,"[H,S]"
R,5,6,S,D,"[S,D]"
R,5,7,S,A,"[S,A]"
R,5,8,S,B,"[S,B]"
R,6,1,E,S,"[E,S]"
R,6,2,S,G,"[S,G]"
R,6,3,B,S,"[B,S]"
R,6,4,S,A,"[S,A]"
R,6,5,S,D,"[S,D]"
R,6,6,F,S,"[F,S]"
R,6,7,S,H,"[S,H]"
R,6,8,C,S,"[C,S]"
0,0,0,0,0,0
R,7,1,B,S,"[B,S]"
R,7,2,D,S,"[D,S]"
R,7,3,S,G,"[S,G]"
R,7,4,E,S,"[E,S]"
R,7,5,F,S,"[F,S]"
R,7,6,S,A,"[S,A]"
R,7,7,S,C,"[S,C]"
R,7,8,S,H,"[S,H]"
R,8,1,A,S,"[A,S]"
R,8,2,F,S,"[F,S]"
R,8,3,S,G,"[S,G]"
R,8,4,H,S,"[H,S]"
R,8,5,S,B,"[S,B]"
R,8,6,C,S,"[C,S]"
R,8,7,S,E,"[S,E]"
R,8,8,S,D,"[S,D]"
0,0,0,0,0,0
I,1,1,S,F,"[S,F]"
I,1,2,S,C,"[S,C]"
I,1,3,S,B,"[S,B]"
I,1,4,S,H,"[S,H]"
I,1,5,G,S,"[G,S]"
I,1,6,D,S,"[D,S]"
I,1,7,E,S,"[E,S]"
I,1,8,A,S,"[A,S]"
I,2,1,S,D,"[S,D]"
I,2,2,S,C,"[S,C]"
I,2,3,S,F,"[S,F]"
I,2,4,S,B,"[S,B]"
I,2,5,G,S,"[G,S]"
I,2,6,A,S,"[A,S]"
I,2,7,H,S,"[H,S]"
I,2,8,E,S,"[E,S]"
0,0,0,0,0,0
I,3,1,S,H,"[S,H]"
I,3,2,S,F,"[S,F]"
I,3,3,D,S,"[D,S]"
I,3,4,B,S,"[B,S]"
I,3,5,S,E,"[S,E]"
I,3,6,S,C,"[S,C]"
I,3,7,A,S,"[A,S]"
I,3,8,G,S,"[G,S]"
I,4,1,S,G,"[S,G]"
I,4,2,C,S,"[C,S]"
I,4,3,D,S,"[D,S]"
I,4,4,H,S,"[H,S]"
I,4,5,S,A,"[S,A]"
I,4,6,S,E,"[S,E]"
I,4,7,B,S,"[B,S]"
I,4,8,S,F,"[S,F]"
0,0,0,0,0,0
I,5,1,C,S,"[C,S]"
I,5,2,G,S,"[G,S]"
I,5,3,F,S,"[F,S]"
I,5,4,S,E,"[S,E]"
I,5,5,H,S,"[H,S]"
I,5,6,S,D,"[S,D]"
I,5,7,S,A,"[S,A]"
I,5,8,S,B,"[S,B]"
I,6,1,E,S,"[E,S]"
I,6,2,S,G,"[S,G]"
I,6,3,B,S,"[B,S]"
I,6,4,S,A,"[S,A]"
I,6,5,S,D,"[S,D]"
I,6,6,F,S,"[F,S]"
I,6,7,S,H,"[S,H]"
I,6,8,C,S,"[C,S]"
0,0,0,0,0,0
I,7,1,B,S,"[B,S]"
I,7,2,D,S,"[D,S]"
I,7,3,S,G,"[S,G]"
I,7,4,E,S,"[E,S]"
I,7,5,F,S,"[F,S]"
I,7,6,S,A,"[S,A]"
I,7,7,S,C,"[S,C]"
I,7,8,S,H,"[S,H]"
I,8,1,A,S,"[A,S]"
I,8,2,F,S,"[F,S]"
I,8,3,S,G,"[S,G]"
I,8,4,H,S,"[H,S]"
I,8,5,S,B,"[S,B]"
I,8,6,C,S,"[C,S]"
I,8,7,S,E,"[S,E]"
I,8,8,S,D,"[S,D]"
0,0,0,0,0,0
P,1,1,S,F,"[S,F]"
P,1,2,S,C,"[S,C]"
P,1,3,S,B,"[S,B]"
P,1,4,S,H,"[S,H]"
P,1,5,G,S,"[G,S]"
P,1,6,D,S,"[D,S]"
P,1,7,E,S,"[E,S]"
P,1,8,A,S,"[A,S]"
P,2,1,S,D,"[S,D]"
P,2,2,S,C,"[S,C]"
P,2,3,S,F,"[S,F]"
P,2,4,S,B,"[S,B]"
P,2,5,G,S,"[G,S]"
P,2,6,A,S,"[A,S]"
P,2,7,H,S,"[H,S]"
P,2,8,E,S,"[E,S]"
0,0,0,0,0,0
P,3,1,S,H,"[S,H]"
P,3,2,S,F,"[S,F]"
P,3,3,D,S,"[D,S]"
P,3,4,B,S,"[B,S]"
P,3,5,S,E,"[S,E]"
P,3,6,S,C,"[S,C]"
P,3,7,A,S,"[A,S]"
P,3,8,G,S,"[G,S]"
P,4,1,S,G,"[S,G]"
P,4,2,C,S,"[C,S]"
P,4,3,D,S,"[D,S]"
P,4,4,H,S,"[H,S]"
P,4,5,S,A,"[S,A]"
P,4,6,S,E,"[S,E]"
P,4,7,B,S,"[B,S]"
P,4,8,S,F,"[S,F]"
0,0,0,0,0,0
P,5,1,C,S,"[C,S]"
P,5,2,G,S,"[G,S]"
P,5,3,F,S,"[F,S]"
P,5,4,S,E,"[S,E]"
P,5,5,H,S,"[H,S]"
P,5,6,S,D,"[S,D]"
P,5,7,S,A,"[S,A]"
P,5,8,S,B,"[S,B]"
P,6,1,E,S,"[E,S]"
P,6,2,S,G,"[S,G]"
P,6,3,B,S,"[B,S]"
P,6,4,S,A,"[S,A]"
P,6,5,S,D,"[S,D]"
P,6,6,F,S,"[F,S]"
P,6,7,S,H,"[S,H]"
P,6,8,C,S,"[C,S]"
0,0,0,0,0,0
P,7,1,B,S,"[B,S]"
P,7,2,D,S,"[D,S]"
P,7,3,S,G,"[S,G]"
P,7,4,E,S,"[E,S]"
P,7,5,F,S,"[F,S]"
P,7,6,S,A,"[S,A]"
P,7,7,S,C,"[S,C]"
P,7,8,S,H,"[S,H]"
P,8,1,A,S,"[A,S]"
P,8,2,F,S,"[F,S]"
P,8,3,S,G,"[S,G]"
P,8,4,H,S,"[H,S]"
P,8,5,S,B,"[S,B]"
P,8,6,C,S,"[C,S]"
P,8,7,S,E,"[S,E]"
P,8,8,S,D,"[S,D]"
-1,-1,-1,-1,-1,-1
